verb,verb_lemma,noun,dep,id
accusati,accusato,manifestanti,nsubj,ab44f4f4-b8d2-49d8-b5d5-139b9d52d89c
picchiati,picchiare,manifestanti,obl,53d8bb80-cfe8-41b7-b0d6-5bc5a6eabe25
ai,al,manifestanti,nmod,53d8bb80-cfe8-41b7-b0d6-5bc5a6eabe25
sui,sul,manifestanti,nsubj,edf0041d-6835-4ce9-bf01-5ebc94fefc44
dare,dare,manifestanti,nsubj,edf0041d-6835-4ce9-bf01-5ebc94fefc44
scelto,scegliere,manifestante,obj,8d9dba03-12e2-4cea-8c15-d54df3d63c1c
indicando,indicare,manifestante,xcomp,8d9dba03-12e2-4cea-8c15-d54df3d63c1c
tentano,tentare,manifestanti,nsubj:pass,fe91dae3-38b1-4349-827e-86a5b60654d5
global,global,manifestanti,nsubj,d393772c-925c-4c4b-83e0-179b21956fa4
global,global,manifestanti,nsubj,e54f5728-4c9c-46a3-8f18-bd61f4fdfb96
tentano,tentare,manifestanti,nsubj:pass,76bbc2cc-ceb0-4687-b979-69f37c100918
lanciato,lanciare,manifestanti,obj,46d5fcfd-d1fb-42ca-b1fc-d292ef600d82
portato,portare,militanti,conj,566c77a3-dc42-47b2-9442-1454fcfda938
ucciso,uccidere,manifestante,nsubj,484d9b4e-a231-4741-b1ae-8513a881af18
iniziarono,iniziare,manifestanti,nmod,484d9b4e-a231-4741-b1ae-8513a881af18
era,essere,manifestanti,ROOT,4115d766-c733-49af-9e0e-f6d069fa0feb
raccolgono,raccogliere,militanti,obj,5639691a-6d06-4e49-b7db-1536b7a05a63
accompagnarono,accompagnare,manifestanti,conj,2920cab8-a874-4952-a83c-16141c602ccb
imbottigliato,imbottigliare,manifestanti,obj,9dd373b4-e5c2-452b-b5c4-471bc93b0247
accusati,accusato,manifestanti,obl,336a3678-4a38-4aa9-b076-7d01a95e50bc
stato,stare,manifestante,ROOT,1788a22b-3d48-4027-b871-4d0d3c5ee55d
prese,preso,manifestante,ROOT,1788a22b-3d48-4027-b871-4d0d3c5ee55d
proteste,protesta,manifestante,ROOT,1788a22b-3d48-4027-b871-4d0d3c5ee55d
ucciso,uccidere,manifestante,ROOT,1788a22b-3d48-4027-b871-4d0d3c5ee55d
compresi,compreso,manifestanti,obl,d7baea29-6500-4d63-92c5-fe7af2ede8c0
presentato,presentare,manifestanti,nsubj,d7baea29-6500-4d63-92c5-fe7af2ede8c0
trattenuti,trattenere,manifestanti,nsubj:pass,4b80851a-e9c5-4066-b0b4-dec6d72de79a
marchiati,marchiare,manifestanti,nsubj:pass,4b80851a-e9c5-4066-b0b4-dec6d72de79a
arrivati,arrivato,manifestanti,obj,4a967238-fc43-4120-ba95-cb2a1b44eb22
costituito,costituire,manifestante,nsubj,923f8f42-7c62-45db-afe6-b410180cdb33
costituiti,costituito,manifestanti,nmod,923f8f42-7c62-45db-afe6-b410180cdb33
ucciso,uccidere,manifestante,nmod,670db26e-5744-4547-b8dc-027ed7cf3450
islamisti,islamista,militanti,nmod,42322cb5-eb4c-4432-906b-6974f027b62d
era,essere,manifestante,ROOT,5708ce1e-a7be-430e-a8d0-54a173a452b9
appartenente,appartenere,manifestante,ROOT,5708ce1e-a7be-430e-a8d0-54a173a452b9
ucciso,uccidere,manifestante,ROOT,5708ce1e-a7be-430e-a8d0-54a173a452b9
inseguendo,inseguire,manifestanti,obl:agent,5708ce1e-a7be-430e-a8d0-54a173a452b9
avvicinando,avvicinare,dimostrante,obj,5708ce1e-a7be-430e-a8d0-54a173a452b9
ai,al,manifestanti,nmod,ee779cd4-4391-4ac4-b0e1-093282684a84
massacrati,massacrare,manifestanti,nmod,ee779cd4-4391-4ac4-b0e1-093282684a84
inseguendo,inseguire,manifestanti,obl:agent,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
avvicinando,avvicinare,dimostrante,obj,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
portarono,portare,manifestanti,nmod,3a61791e-10bb-4e75-95cb-6432dff04d94
provenienti,provenire,attivisti,obl,4ad0103d-00df-4b98-abff-f4bd722b2589
basta,bastare,militanti,nsubj,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
imbottigliato,imbottigliare,manifestanti,obj,beaf5566-b580-4a27-8dee-f82f017e0752
confrontano,confrontare,militanti,nsubj,176eaed9-6acd-4abb-b2cc-73776dee07fd
cercato,cercare,manifestanti,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
fermati,fermato,manifestanti,obj,d9778f78-c780-432c-a8a1-be64b4b7f3ed
trovati,trovare,manifestanti,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
pestati,pestare,manifestanti,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
aveva,avere,manifestante,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
ucciso,uccidere,manifestante,obj,492e5d80-ee2b-4c41-bf37-5d49da3ee39c
era,essere,manifestanti,ccomp,09453029-47a5-4073-b787-b226e652a426
protestava,protestare,manifestante,nsubj:pass,94153228-2a2d-4188-b647-bfc20a2bb953
inseguendo,inseguire,manifestanti,obl:agent,94153228-2a2d-4188-b647-bfc20a2bb953
avevano,avere,manifestanti,nmod,c3ef6edb-c103-423e-a41c-83a50d545977
continuava,continuare,dimostranti,nmod,c3ef6edb-c103-423e-a41c-83a50d545977
vanno,andare,manifestanti,conj,c3ef6edb-c103-423e-a41c-83a50d545977
urla,urlo,manifestante,nsubj,c3ef6edb-c103-423e-a41c-83a50d545977
stava,stare,manifestante,obl,d106d2c2-4143-4d78-a34b-e6603b7f1cd3
