verb,verb_lemma,noun,dep,id
carabiniere,carabiniere,CARLO,ROOT,25960f9c-141c-4a0b-9484-33c0f4bdccd9
colpito,colpire,CARLO,ROOT,25960f9c-141c-4a0b-9484-33c0f4bdccd9
impugna,impugnare,CARLO,obl,592d3754-d6c4-411c-b9fb-1dd5d83599cc
sta,stare,CARLO,nsubj,0abff01c-2772-48d8-aa9b-288a5ff2e983
ucciso,uccidere,CARLO,obl,c11173b4-ec0d-42ed-8130-ca24815ed7ac
puo,puo,CARLO,nsubj,a5f73e8e-f82d-4a11-a591-421502b3b984
puo,puo,CARLO,nsubj,6e191029-5190-4214-af01-c2353fd83695
è,essere,CARLO,conj,364b9766-e99d-448e-b711-59f3e5c0bd4d
diventato,diventare,CARLO,obl,0d5afe50-87f2-4a32-934f-544b9421fd4c
è,essere,CARLO,conj,4ba5c0dd-9327-4d4b-b93b-72e6aa4e9398
offese,offeso,CARLO,nmod,f8f74639-6ac7-458d-b495-f0d6048caecb
offese,offeso,CARLO,nmod,d192c36a-615c-4176-ad6d-b64b366128ff
morto,morire,CARLO,conj,6a12dcff-a7fb-44eb-8b64-4678db815c26
puo,puo,CARLO,nsubj,6a12dcff-a7fb-44eb-8b64-4678db815c26
