adj,noun,dep,id
altri,manifestanti,obl,87222c46-441e-447b-b833-6fb433d05d02
giovane,manifestante,obl,8d9bcc71-9884-4d6a-aa82-0b6279619978
altri,manifestanti,obl,a9a0449b-f87b-46a6-b081-5ca59e6101f5
ritrovandosi,manifestanti,obj,9dd373b4-e5c2-452b-b5c4-471bc93b0247
presenti,manifestanti,nmod,336a3678-4a38-4aa9-b076-7d01a95e50bc
violenti,manifestanti,obl,95333923-a6b0-4723-a6aa-56262b626901
pacifici,manifestanti,appos,95333923-a6b0-4723-a6aa-56262b626901
sdraiati,manifestanti,obj,d7baea29-6500-4d63-92c5-fe7af2ede8c0
inermi,manifestanti,nmod,f8fc8d9b-f1c7-4c58-a7b7-888c50edd862
pacifici,manifestanti,obj,4a967238-fc43-4120-ba95-cb2a1b44eb22
tedesco,manifestante,obl,923f8f42-7c62-45db-afe6-b410180cdb33
tedesco,manifestante,nsubj,923f8f42-7c62-45db-afe6-b410180cdb33
genovese,manifestante,nmod,670db26e-5744-4547-b8dc-027ed7cf3450
imputato,manifestante,obj,505ad549-9469-442d-a851-ed53377c8635
altro,manifestante,obl:agent,5708ce1e-a7be-430e-a8d0-54a173a452b9
spagnolo,manifestante,nmod,5708ce1e-a7be-430e-a8d0-54a173a452b9
inermi,manifestanti,nmod,ee779cd4-4391-4ac4-b0e1-093282684a84
altro,manifestante,obl:agent,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
spagnolo,manifestante,nmod,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
altro,manifestante,obl:agent,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
armati,manifestanti,obj,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
giovane,manifestante,advmod,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
internazionalisti,attivisti,obl,4ad0103d-00df-4b98-abff-f4bd722b2589
altri,manifestanti,obj,d1011f07-cc5c-459c-9b1e-b102cd5cbc90
altri,manifestanti,nsubj,6467d638-8943-484f-b151-95e48771b773
inermi,manifestanti,nmod,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
buoni,manifestanti,nmod,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
pacifici,manifestanti,nsubj,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
continua,militanti,nsubj,ccecc100-46c5-4efc-969c-d278ef3beb16
schierate,militanti,nmod,1c6f0218-976a-4ead-bdd0-f1b7b15b2fbe
armati,militanti,obl,1c6f0218-976a-4ead-bdd0-f1b7b15b2fbe
ritrovandosi,manifestanti,obj,beaf5566-b580-4a27-8dee-f82f017e0752
giovane,manifestante,advmod,af4537c8-1489-47cf-bc63-23c3747b38d3
violenti,manifestanti,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
inermi,manifestanti,obl,d9778f78-c780-432c-a8a1-be64b4b7f3ed
altra,manifestante,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
inermi,manifestanti,obl,492e5d80-ee2b-4c41-bf37-5d49da3ee39c
inerme,manifestante,obl,c947941e-a6d4-42ec-a55f-a406990a512b
presenti,manifestanti,nsubj,b7735543-93c3-46ec-b57e-50745d2ef4ba
altro,manifestante,obl:agent,b7735543-93c3-46ec-b57e-50745d2ef4ba
23enne,manifestante,obj,94153228-2a2d-4188-b647-bfc20a2bb953
violenti,manifestanti,nmod,c3ef6edb-c103-423e-a41c-83a50d545977
solo,manifestante,nsubj,c3ef6edb-c103-423e-a41c-83a50d545977
altro,manifestante,obl:agent,1314b067-e350-4173-9f32-905d910525d7
altro,manifestante,obl:agent,6165ea2f-efa2-4e6c-a0b1-347c02dbf276
incappucciato,manifestante,obl,d106d2c2-4143-4d78-a34b-e6603b7f1cd3
inermi,manifestanti,nmod,f5464186-742d-437e-aa8f-a36996c0123a
violenti,manifestanti,nmod,7c366e89-56c6-438f-a7e3-374641263353
violenti,manifestanti,nmod,5e4c4dac-1d61-421c-86ff-2fc1beff991a
giovane,manifestante,nmod,688b1730-206c-499e-a510-8f51f5c60023
giovane,manifestante,advmod,688b1730-206c-499e-a510-8f51f5c60023
giovane,manifestante,nsubj,c3f5e0e0-2671-4d07-853c-1d1091fd09fc
genovese,manifestante,nsubj,c3f5e0e0-2671-4d07-853c-1d1091fd09fc
armati,manifestanti,nmod,c3f5e0e0-2671-4d07-853c-1d1091fd09fc
giovane,manifestante,advmod,ecdfe22d-1645-44ed-8a76-ea48eb8c9c58
armati,manifestanti,nmod,01efba2a-fc47-484b-88c0-36582629ed8d
armati,manifestanti,nmod,6889b439-796a-4013-9877-4361e01bff3b
giovane,manifestante,obl,1d0247dc-dde3-45d4-89ce-783a877ee6ab
armati,manifestanti,nmod,5ee7f079-b571-4634-964e-e7e8cbc0e233
altro,manifestante,obl:agent,bb134a1d-d615-4a3f-9df3-7ddf32fa3c12
accusandoli,manifestanti,flat:name,eb7edfff-0c7e-4070-95a3-c904fa458b83
inferociti,manifestanti,obj,f7db8dee-aa98-49da-976c-d1cb3e86f97a
francesi,attivisti,nmod,ee3212fa-8298-4eb6-84cf-aef2d2de8665
inerme,manifestante,obl,518b00d0-9328-4aa9-8ca6-5ee2b8190b1d
incuranti,manifestanti,nmod,08e4d5f9-c8ce-4f4e-8ad3-3adc201d9d44
italiano,manifestante,nsubj,592d3754-d6c4-411c-b9fb-1dd5d83599cc
infuriato,manifestanti,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
altro,manifestante,obl,592d3754-d6c4-411c-b9fb-1dd5d83599cc
altro,manifestante,advmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
inferociti,manifestanti,obj,592d3754-d6c4-411c-b9fb-1dd5d83599cc
presenti,manifestanti,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
numerosi,attivisti,obj,cd888de2-ce6a-4405-b605-19d60b47674a
altro,manifestante,obl:agent,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
giovane,manifestante,advmod,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
altro,manifestante,obl,ac3eee87-9381-4a69-bea8-3b08a0b96820
altro,manifestante,nsubj:pass,c7f64933-2aea-4d66-944d-9eb88ba1c432
ultimi,manifestanti,nsubj,c7f64933-2aea-4d66-944d-9eb88ba1c432
