w,s,ntarget,ntogether
coetaneo,-2.0924348555771393,40,33
sempre,-4.801643805360568,854,45
dentro,-3.3990911450011523,224,47
tute,-4.2815753145133995,112,27
lancia,-3.4315563640118354,47,69
mila,-4.507171213506317,51,32
avere,-4.100408552871659,288,34
vede,-4.216497564460093,146,53
der,-4.1528040604903245,102,355
nome,-3.934469821590818,211,39
dos,-3.9728783069803293,31,79
por,-4.410760982267595,127,218
teste,-3.5959546833398046,39,26
modo,-4.730715486124225,424,26
que,-4.325250378016062,277,695
fa,-4.269347376705527,750,706
inizia,-4.6791522497725575,70,25
nota,-3.8805645567546154,84,30
violenza,-4.2671865770613,276,30
vista,-3.928211210221969,160,50
comunista,-3.4221854083611674,74,26
state,-4.4009443933254175,379,45
trova,-4.353386790644728,179,62
sparato,-2.8735121086437867,153,68
punta,-3.843641202650018,51,32
circa,-3.7862538772833743,240,36
lug,-3.293541419386626,34,199
parole,-4.06551423595484,285,38
contra,-4.323850797661638,44,55
2001,-3.0036430271571866,445,259
propri,-4.357809347256911,79,86
ucciso,-2.767621889013227,311,149
mente,-4.425309973072268,72,307
colpito,-3.291777391518913,129,32
και,-3.624113807422637,178,29
so,-4.469786456922839,194,1114
des,-4.3401482326966985,210,123
criminal,-3.921322549226783,43,25
sede,-3.8300806513226235,165,26
euro,-4.2699002829328965,133,70
tale,-4.767867751755518,216,42
mette,-4.391564078442964,87,46
due,-4.740637608630542,1288,72
visto,-4.058528808179615,373,46
indossa,-3.137626711691655,59,28
foto,-3.3160862194963046,261,134
morto,-3.0233999983805546,268,110
vive,-4.148747404154963,73,29
vivo,-3.2528175949297227,49,29
dice,-4.433884219018857,301,61
genitori,-2.645339208924575,97,52
and,-4.422982616626884,1003,496
giuliano,-2.6994064301948506,103,52
film,-4.12182864918202,118,28
facebook,-2.9204712022220676,137,63
pena,-4.495750195844849,107,36
ore,-3.9444593063593185,350,505
tre,-4.42445542753483,446,267
comitato,-2.600051675306345,77,38
